"gene","trans","speciesMatch","chr","five_prime_UTR","three_prime_UTR","evalue","bitScore","rawValue","percentMatch","other","proteinMatch"
"Zm00001d027450","Zm00001d027450_T005","brachypodium","1","5529123","5534182",0,752,827,83.313,689,"PNT78284"
"Zm00001d027450","Zm00001d027450_T008","sorghum","1","5531287","5535135",0,2643,1688,95.083,1605,"KXG40287"
"Zm00001d027450","Zm00001d027450_T008","sorghum","1","5531287","5535135",0,2617,1647,95.446,1572,"OQU93339"
"Zm00001d027450","Zm00001d027450_T008","setaria","1","5531287","5535135",0,2263,1641,91.651,1504,"KQK92822"
"Zm00001d027450","Zm00001d027450_T008","brachypodium","1","5531287","5535135",0,1664,1678,84.863,1424,"PNT78284"
"Zm00001d027450","Zm00001d027450_T008","setaria","1","5531287","5535135",0,1260,1669,80.767,1348,"KQK90186"
"Zm00001d027450","Zm00001d027450_T008","sorghum","1","5531287","5535135",0,1205,1692,80.083,1355,"OQU92250"
"Zm00001d027450","Zm00001d027450_T008","brachypodium","1","5531287","5535135",0,1175,1639,79.927,1310,"KQJ97572"
"Zm00001d027450","Zm00001d027450_T008","brachypodium","1","5531287","5535135",0,1173,1642,79.903,1312,"KQJ97571"
"Zm00001d027450","Zm00001d027450_T008","rice","1","5531287","5535135",0,1144,1092,85.806,937,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T008","rice","1","5531287","5535135",0,1112,1682,79.073,1330,"Os10t0533000-01"
"Zm00001d021010","Zm00001d021010_T001","sorghum","7","140312368","140312751",1.35e-103,377,396,84.848,336,"EER96997"
"Zm00001d021010","Zm00001d021010_T001","setaria","7","140312368","140312751",1.38e-88,327,391,82.353,322,"KQL25157"
"Zm00001d021010","Zm00001d021010_T001","setaria","7","140312368","140312751",2.59e-06,54.7,29,100,29,"KQK99414"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3579,2406,93.641,2253,"KXG33225"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3579,2406,93.641,2253,"KXG33228"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3579,2406,93.641,2253,"KXG33227"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3579,2406,93.641,2253,"KXG33226"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3541,2406,93.392,2247,"OQU87406"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3541,2406,93.392,2247,"OQU87405"
"Zm00001d011700","Zm00001d011700_T013","sorghum","8","159172534","159179366",0,3541,2406,93.392,2247,"OQU87404"
"Zm00001d011700","Zm00001d011700_T013","setaria","8","159172534","159179366",0,2854,2415,88.282,2132,"KQL06660"
"Zm00001d011700","Zm00001d011700_T013","brachypodium","8","159172534","159179366",0,1875,2436,80.993,1973,"KQK09429"
"Zm00001d011700","Zm00001d011700_T013","brachypodium","8","159172534","159179366",0,1875,2436,80.993,1973,"KQK09428"
"Zm00001d011700","Zm00001d011700_T013","brachypodium","8","159172534","159179366",0,1875,2436,80.993,1973,"KQK09427"
"Zm00001d011700","Zm00001d011700_T013","brachypodium","8","159172534","159179366",0,1875,2436,80.993,1973,"PNT72693"
"Zm00001d011700","Zm00001d011700_T013","rice","8","159172534","159179366",0,1820,2130,82.3,1753,"Os01t0709500-03"
"Zm00001d011700","Zm00001d011700_T013","rice","8","159172534","159179366",0,1210,1392,82.543,1149,"Os01t0709500-04"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3751,2514,93.715,2356,"KXG33225"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3751,2514,93.715,2356,"KXG33228"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3751,2514,93.715,2356,"KXG33227"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3751,2514,93.715,2356,"KXG33226"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3712,2514,93.477,2350,"OQU87406"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3712,2514,93.477,2350,"OQU87405"
"Zm00001d011700","Zm00001d011700_T007","sorghum","8","159172399","159180670",0,3712,2514,93.477,2350,"OQU87404"
"Zm00001d011700","Zm00001d011700_T007","setaria","8","159172399","159180670",0,2948,2511,88.132,2213,"KQL06660"
"Zm00001d011700","Zm00001d011700_T007","brachypodium","8","159172399","159180670",0,1923,2553,80.689,2060,"KQK09428"
